mesh3	保全優先度全国ランク_全分類群	保全優先度全国ランク_植物	保全優先度全国ランク_哺乳類	保全優先度全国ランク_鳥類	保全優先度全国ランク_爬虫類	保全優先度全国ランク_両生類	保全優先度全国ランク_淡水魚類	保全優先度県内ランク_全分類群	保全優先度全国ランク_セミ類	保全優先度全国ランク_チョウ類	保全優先度全国ランク_トンボ類	種数_植物	種数_哺乳類	種数_鳥類	種数_爬虫類	種数_両生類	種数_淡水魚類	種数_セミ類	種数_チョウ類	種数_トンボ類	種数ランク_植物	種数ランク_哺乳類	種数ランク_鳥類	種数ランク_爬虫類	種数ランク_両生類	種数ランク_淡水魚類	種数ランク_セミ類	種数ランク_チョウ類	種数ランク_トンボ類
52376060	0.76	0.766	0.548	0.838	0.792	0.819	0.845	0.406	0.946	0.904	0.996	1052	6	106	10	8	17	8	77	80	0.9243	0.1111	0.9382	0.8785	0.8101	0.7503	0.9401	0.9254	0.9952
52376070	0.787	0.807	0.571	0.814	0.794	0.834	0.866	0.451	0.94	0.89	0.972	1116	7	104	9	8	17	8	80	76	0.9412	0.1602	0.9344	0.8479	0.8101	0.7503	0.9401	0.9386	0.9876
52376080	0.959	0.947	0.825	0.931	0.893	0.847	0.969	0.962	0.97	0.842	0.992	1293	10	135	11	8	50	9	71	79	0.9733	0.3667	0.9749	0.9088	0.8101	0.9862	0.9795	0.8941	0.9937
52376081	0.939	0.913	0.538	0.805	0.81	0.958	0.961	0.833	0.956	0.805	0.982	1124	5	96	6	8	34	9	72	76	0.9431	0.0721	0.9163	0.7564	0.8101	0.9272	0.9795	0.8998	0.9876
52376082	0.955	0.804	0.582	0.864	0.802	0.916	0.979	0.857	0.967	0.912	0.999	1150	7	116	11	9	32	8	81	82	0.9489	0.1602	0.9541	0.9088	0.8638	0.9143	0.9401	0.9425	0.9974
52376091	0.971	0.957	0.63	0.856	0.83	0.973	0.98	0.947	0.94	0.705	0.91	1189	10	101	7	8	45	8	62	68	0.9569	0.3667	0.9279	0.7878	0.8101	0.9737	0.9401	0.8334	0.9624
52376092	0.968	0.916	0.585	0.826	0.8	0.973	0.982	0.882	0.91	0.699	0.905	1106	9	92	8	7	30	8	64	59	0.9388	0.2906	0.9058	0.8182	0.7463	0.9002	0.9401	0.8484	0.9262
52376093	0.963	0.889	0.573	0.866	0.845	0.946	0.981	0.933	0.96	0.901	0.997	1242	8	115	12	10	42	8	85	79	0.9661	0.2216	0.9527	0.9363	0.9087	0.9641	0.9401	0.9568	0.9937
52376094	0.926	0.735	0.479	0.824	0.753	0.83	0.969	0.734	0.936	0.897	0.994	976	6	102	8	8	32	8	80	77	0.9	0.1111	0.9303	0.8182	0.8101	0.9143	0.9401	0.9386	0.9899
52377002	0.99	0.959	0.688	0.928	0.851	0.955	0.996	0.983	0.959	0.816	0.963	1206	10	125	8	9	48	9	69	68	0.96	0.3667	0.9651	0.8182	0.8638	0.9818	0.9795	0.8822	0.9624
52377003	0.969	0.906	0.551	0.82	0.81	0.98	0.984	0.95	0.961	0.899	0.991	1251	10	102	10	9	40	8	84	80	0.9674	0.3667	0.9303	0.8785	0.8638	0.9565	0.9401	0.9534	0.9952
